linenumber,fec_committee_id,fec_candidate_id,candidate_name,party,office_name,office_state,district,position,transaction_id,payee,street_1,street_2,city,state,zip_code,date,amount,purpose,cycle
SE,C00594176,P80001571,DONALD J TRUMP,REP,President,IN,,O,SE.4660,Emmis Communications,40 Minument Cir,Ste 700,Indianapolis,IN,46204,2016-05-01,2950.0,Advertising - Radio,2016
SE,C00610907,P80001571,Donald J. Trump,REP,President,IN,,O,SE.4255,Tusk Digital,"718 7th Street, N.W.",2nd Floor,Washington,DC,20001,2016-05-01,75000.0,online advertising,2016
SE,C00575415,P60006111,Rafael Edward Ted Cruz,REP,President,IN,,S,EC13C2CFB84184102A32,Ground Game Strategies,300 Hickory Lane,,Mauldin,SC,296622238,2016-04-30,10519.9,PAC Voter ID Program,2016
SE,C90011677,P80001571,Donald Trump,REP,President,IN,,O,F57.000002,Content Creative Media,"3380 Tremont Road, Suite 290",,Columbus,OH,43220,2016-04-30,125000.0,Media - Digital advertisement placement.,2016
SE,C90011677,P80001571,Donald Trump,REP,President,IN,,O,F57.000001,Content Creative Media,"3380 Tremont Road, Suite 290",,Columbus,OH,43220,2016-04-30,135000.0,Media - TV advertisement placement.,2016
SE,C00575415,P60006111,Rafael Edward Ted Cruz,REP,President,IN,,S,E2DDAD3126A0F42FA882,Five Points Consulting,6173 Roaring Forks Dr,,Norton Shores,MI,494445979,2016-04-30,3000.0,Digital Media Production/Placement,2016
SE,C00603621,P80001571,Donald J. Trump,REP,President,IN,,O,SE.5532,"Mentzer Media Services, Inc.",210 W. Pennsylvania Avenue,Suite 250,Towson,MD,21204,2016-04-30,40000.0,Media placement,2016
SE,C00575415,P60006111,Rafael Edward Ted Cruz,REP,President,IN,,S,EED87D96AC77F41FA89B,Ground Game Strategies,300 Hickory Lane,,Mauldin,SC,296622238,2016-04-30,65410.21,PAC Voter ID Program,2016
SE,C00603621,P80001571,Donald J. Trump,REP,President,IN,,O,SE.5526,"Mentzer Media Services, Inc.",210 W. Pennsylvania Avenue,Suite 250,Towson,MD,21204,2016-04-29,598839.46,Media placement,2016
SE,C00609511,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.4669,Glittering Steel LLC,C/o Feemark Financial LLP,8383 Wilshire Blvd Suite 1000,Beverly Hills,CA,90211,2016-04-29,40000.0,Media Production,2016
SE,C00609511,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.4668,Red Metrics LLC,1288 Blue Lake Dr,,Frisco,TX,75033,2016-04-29,100000.0,Media Buy,2016
SE,C00609511,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.4667,Targeted Victory,1033 North Fairfax Street,Suite 400,Alexandria,VA,22314,2016-04-29,75000.0,On-Line Media Buy,2016
SE,C90014176,P60006111,Ted Cruz,REP,President,IN,,S,F57.000001,"HARRIS MEDIA, LLC",2131 THEO DRIVE,,AUSTIN,TX,78723,2016-04-29,50000.0,Media production & placement -- estimated expense,2016
SE,C00487470,P80001571,DONALD J TRUMP,REP,President,IN,,O,SE.7378,TRUSTED LEADERSHIP PAC,1101 WEST 34TH STREET,SUITE 461,AUSTIN,TX,78705,2016-04-29,4000.0,tv ad production costs (added to air buy reported 4/21/16),2016
SE,C00487470,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.7380,TRUSTED LEADERSHIP PAC,1101 WEST 34TH STREET,SUITE 461,AUSTIN,TX,78705,2016-04-29,6000.0,tv ad production costs (added to air buy reported 4/21/16),2016
SE,C00487470,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.7382,Club for Growth,"2001 L St., NW",Suite 600,Washington,DC,20036,2016-04-29,165.55,tv ad production costs (added to air buy reported 4/21/16) (from advance line 21),2016
SE,C00487470,P80001571,DONALD J TRUMP,REP,President,IN,,O,SE.7381,Club for Growth,"2001 L St., NW",Suite 600,Washington,DC,20036,2016-04-29,110.36,tv ad production costs (added to air buy reported 4/21/16) (from advance line 21),2016
SE,C00487470,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.7372,Club for Growth,"2001 L St., NW",Suite 600,Washington,DC,20036,2016-04-29,225.37,internet communications (from advance line 21),2016
SE,C00487470,P80001571,DONALD J TRUMP,REP,President,IN,,O,SE.7371,Club for Growth,"2001 L St., NW",Suite 600,Washington,DC,20036,2016-04-29,150.25,internet communications (from advance line 21),2016
